Agente,1006,Conexão ,172,Tipo de ligação,Descrição,Ano,Tipo do agente,Tipo de ligação predominante
DataLabe,1,Governo do Rio de Janeiro,1,Financiamento,"Financiamento do projeto “Dados & Democracia – Laboratório de dados nas periferias do Estados Do Rio De Janeiro”, a proposta foi contemplada pela Emenda Parlamentar Individual nº 444200006, de autoria do Deputado Pastor Henrique Vieira, no valor de R$ 500.000,00 (quinhentos mil reais). 

Projeto a ser executado pela Associação Data Labe (CNPJ: 31.370.501/0001-93), entidade convenente, pela concessão do Ministério da Ciência e Tecnologia por meio do programa 6702 de Apoio a Projetos e Eventos de Educação, Divulgação e Popularização da Ciência e Educação Científica
",2025,Laboratório,Financiamento
DataLabe,1,Instituto Brasileiro de Geografia e Estatística (IBGE),1,Coleta de dados; Parceria em projeto,"Dados coletados no Projeto CocôZap. Descrição no guia disponibilizado; Em 2023 tornou-se parte do Conselho Consultivo do IBGE  que tem com objetivo colaborar na disseminação das informações coletadas pelo Censo sobre favelas e comunidades urbanas e na reformulação da metodologia de coleta para o próximo Censo, de modo que esta seja mais atenciosa às particularidades desses territórios.","2018, 2019, 2020, 2021, 2022, 2023, 2024",Laboratório,Coleta de dados
DataLabe,1,Instituto Pereira Passos (IPP),1,Coleta de dados,Dados coletados no Projeto CocôZap. Descrição no guia disponibilizado,2021,Laboratório,Coleta de dados
DataLabe,1,Internews,,Financiamento; Parceria em projeto,"Realização de pesquisa sobre a população negra LGBTQIAP+ e como o discurso de ódio e a desinformação afetam estas pessoas, sobretudo em um contexto eleitoral, período em que a análise foi realizada, por meio de formulários, principalmente.

Parceria também na pesquisa EXPLANA!com o objetivo de avaliar o ecossistema da informação no município do Rio de Janeiro focado em pessoas negras LGBT+","2022, 2023",Laboratório,Financiamento
DataLabe,1,Escola de dados,,Parceria em projeto,"Parceria na ferramenta ""dados sem caô""",2022,Laboratório,Parceria em projeto
DataLabe,1,Fundação Ford,,Financiamento,Auxilio de custos básicos em 2017 e financiamento no projeto/ferramenta dados sem caô em 2022;,"2017, 2022",Laboratório,Financiamento
DataLabe,1,Pulitzer Center,,Parceria em projeto,"Parceria no oferecimento do curso gratuito ""Descomplicando IA"" busca democratizar a inteligência artificial nas favelas",2024,Laboratório,Parceria em projeto
DataLabe,1,Redes da Maré,,Parceria em projeto; Coleta de dados,"Parceria no oferecimento do curso gratuito ""Descomplicando IA"" busca democratizar a inteligência artificial nas favelas; Atualização da Carta do Saneamento da Maré que agora faz parte da Agenda 2030;","2017, 2020, 2022, 2023, 2024",Laboratório,Coleta de dados
DataLabe,1,Universidade Federal do Rio de Janeiro (UFRJ),1,Financiamento; Parceria em projeto,"Parceria no oferecimento com Pró-Reitoria de Extensão da UFRJ do curso gratuito ""Descomplicando IA"" busca democratizar a inteligência artificial nas favelas; (2023) registro de doação de 6000 da Universidade;","2023, 2024",Laboratório,Financiamento
DataLabe,1,Open Society Foundations (OSF),,Financiamento,"Primeiro financiamento de 75mil dólares em 2016. 

Conjuntamente no programa FORTALECE! é uma ferramenta para fortalecer a atuação da sociedade civil da região metropolitana do Rio de Janeiro a partir do apoio a coletivos emergentes identificados com a agenda política e a atuação do DataLabe","2016, 2022, 2023",Laboratório,Financiamento
DataLabe,1,Instituto de Defesa do Direito de Defesa (IDDD),,Parceria em projeto,"Coautor do relatório ""Por que eu?"" que pesquisa o racismo nas abordagens policiais","2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Instituto Sou da Paz,,Parceria em projeto,"Agradecimento especial no relatório ""Por que eu?"" que pesquisa o racismo nas abordagens policiais",2022,Laboratório,Parceria em projeto
DataLabe,1,Centro de Estudos de Segurança e Cidadania (CESeC),,Parceria em projeto,"Agradecimento especial no relatório ""Por que eu?"" que pesquisa o racismo nas abordagens policiais",2022,Laboratório,Parceria em projeto
DataLabe,1,Fundação Getulio Vargas (FGV),,Parceria em projeto,"Agradecimento especial no relatório ""Por que eu?"" que pesquisa o racismo nas abordagens policiais.o Núcleo de Justiça Racial",2022,Laboratório,Parceria em projeto
DataLabe,1,Global Innovation Gathering,,Membro,"Membro do Global Innovation Gathering, um grupo de inovação e tecnologia com representantes da América Latina, África, Leste Asiático e Europa.","2017, 2023",Laboratório,Membro
DataLabe,1,Olabi,,Parceria em projeto,Projeto Minas de dados; Projeto 60+; Realização da Criptofunk em 2022;,"2018, 2019, 2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Transparência Brasil,,Parceria em projeto,Projeto Minas de dados,"2018, 2023",Laboratório,Parceria em projeto
DataLabe,1,Fundo Brasil,,Financiamento,Financiamento de duas jovens mareenses para produção de reportagens.,2018,Laboratório,Financiamento
DataLabe,1,Observatório de Favelas,,Parceria em projeto,"Projeto piloto da Narra, uma agência-escola de jornalismo para jovens de favelas cariocas; Realização da Criptofunk em 2022;","2018, 2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Énois,,Parceria em projeto,Segunda #residênciadata_labe; cobertura jornalística focada nas desigualdades evidenciadas pela pandemia do novo Coronavírus; Realização da edição carioca do Prato Firmeza;,"2018, 2019, 2021",Laboratório,Parceria em projeto
DataLabe,1,Associação Brasileira de Jornalismo Investigativo (Abraji),,Parceria em projeto,"Formação de três dias idealizada pela Enóis, em parceria com a Abraji, para 20 jornalistas das periferias.",2019,Laboratório,Parceria em projeto
DataLabe,1,Escola de Administração da UFRJ,1,Parceria em projeto,construção de um mapa de inovação social e ambiental no Rio de Janeiro.,2019,Laboratório,Parceria em projeto
DataLabe,1,Universidade de Sheffield,,Parceria em projeto,construção de um mapa de inovação social e ambiental no Rio de Janeiro.,2019,Laboratório,Parceria em projeto
DataLabe,1,Fundação Heinrich Boll Stiftung,,Financiamento; Parceria em projeto,"Parceria na Segunda etapa do Cocôzap; (2021) Cocôzap aumentou os produtos de comunicação como camisetas, impressos e bolsas, imprimiu a Carta de Saneamento da Maré, contratou um analista de dados, tratou e cruzou os dados obtidos.","2019, 2021, 2022, 2023",Laboratório,Financiamento
DataLabe,1,Revista Azmina,,Parceria em projeto,Parceria na cobertura jornalística focada nas desigualdades evidenciadas pela pandemia do novo Coronavírus; Reportagem sobre os ataques digitais em candidatas mulheres;,"2020, 2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Gênero e Número,,Parceria em projeto,Parceria na cobertura jornalística focada nas desigualdades evidenciadas pela pandemia do novo Coronavírus.,2020,Laboratório,Parceria em projeto
DataLabe,1,Alma Preta,,Parceria em projeto,Análises complexas de dados do TSE para reportagens com foco no racismo brasileiro; Intercâmbio de experiências e oportunidades.,"2020, 2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Tribunal Superior Eleitoral (TSE),1,Coleta de dados,Análises complexas de dados do TSE para reportagens com foco no racismo brasileiro.,2020,Laboratório,Coleta de dados
DataLabe,1,Casa Fluminense,,Financiamento; Parceria em projeto,"Atualização da Carta do Saneamento da Maré que agora faz parte da Agenda 2030; (2021)Cocôzap aumentou os produtos de comunicação como camisetas, impressos e bolsas, imprimiu a Carta de Saneamento da Maré, contratou um analista de dados, tratou e cruzou os dados obtidos; (2023)Registro de financiamento de quase 6mil reais.","2020, 2021, 2023",Laboratório,Financiamento
DataLabe,1,Instituto Update,,Financiamento; Parceria em projeto,Análise de dados de candidaturas jovens brasileiras e produção de peças para as redes sociais; Entradas de verbas em 2021;,2021,Laboratório,Financiamento
DataLabe,1,Pretalab,,Parceria em projeto,Conhecer quantitativamente a trajetória de formação e profissional das mulheres cadastradas na plataforma,2021,Laboratório,Parceria em projeto
DataLabe,1,LabJaca,,Parceria em projeto,Realização da edição carioca do Prato Firmeza,2021,Laboratório,Parceria em projeto
DataLabe,1,Coding Rights,,Financiamento; Parceria em projeto,Coleta cidadã de dados sobre violência contra pessoas LGBTQP+; (2022) entradas financeiras;,"2021, 2022",Laboratório,Financiamento
DataLabe,1,Conexão G,,Parceria em projeto,Coleta cidadã de dados sobre violência contra pessoas LGBTQP+.,"2021, 2022",Laboratório,Parceria em projeto
DataLabe,1,Pontifícia Universidade Católica do Paraná (PUC-PR),,Financiamento; Parceria em projeto,"Cocôzap aumentou os produtos de comunicação como camisetas, impressos e bolsas, imprimiu a Carta de Saneamento da Maré, contratou um analista de dados, tratou e cruzou os dados obtidos.",2021,Laboratório,Financiamento
DataLabe,1,Fundação Roberto Marinho,,Financiamento,Produção de cursos para a fundação,2021,Laboratório,Financiamento
DataLabe,1,Instituto Identidades do Brasil,,Financiamento,Entradas em 2021,2021,Laboratório,Financiamento
DataLabe,1,Repórteres Sem Fronteiras (RSF),,Financiamento,"Entradas em 2021, 2022","2021, 2022",Laboratório,Financiamento
DataLabe,1,Associação paranaense de cultura,,Financiamento,Entradas em 2021,2021,Laboratório,Financiamento
DataLabe,1,UOL,,Financiamento,Entradas em 2021,2021,Laboratório,Financiamento
DataLabe,1,Escola de ativismo,,Parceria em projeto,Não especificado,2021,Laboratório,Parceria em projeto
DataLabe,1,Goethe Institut,,Parceria em projeto,Não especificado,2021,Laboratório,Parceria em projeto
DataLabe,1,Casa do povo,,Parceria em projeto,Não especificado,2021,Laboratório,Parceria em projeto
DataLabe,1,Instituto de Estudos da Religião (ISER),,Parceria em projeto,Projeto de análise das denúncias de intolerância religiosa registradas pelas 27 unidades federativas e pelo Disque 100 entre 2020 e 2021.,"2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,The Intercept BR,,Parceria em projeto,Consultoria em comunicação para turma de seis repórteres negros selecionados para a produção de reportagens sobre o uso de tecnologia para violação de direitos,"2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Data Privacy Brasil,,Financiamento; Parceria em projeto,Consultoria em comunicação para turma de seis repórteres negros selecionados para a produção de reportagens sobre o uso de tecnologia para violação de direitos; (2022) apoio financeiro;,"2022, 2023",Laboratório,Financiamento
DataLabe,1,Conectas Direitos Humanos,,Parceria em projeto,Consultoria em comunicação para turma de seis repórteres negros selecionados para a produção de reportagens sobre o uso de tecnologia para violação de direitos,"2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Caranguejo Uçá,,Parceria em projeto,"Intercâmbios e trocas de oportunidades no Programa de Apoio ao Jornalismo, que ofereceu assistência organizacional e jurídica.","2022, 2023",Laboratório,Parceria em projeto
DataLabe,1,Climate Reality Brasil,,Parceria em projeto,Debates sobre os efeitos nas mudanças climáticas na Maré. O encontro encaminhou a produção de uma carta dos direitos climáticos,2022,Laboratório,Parceria em projeto
DataLabe,1,Faveleira,,Parceria em projeto,Debates sobre os efeitos nas mudanças climáticas na Maré. O encontro encaminhou a produção de uma carta dos direitos climáticos,2022,Laboratório,Parceria em projeto
DataLabe,1,Intervozes,,Financiamento; Parceria em projeto,Realização da Criptofunk em 2022;,"2022, 2023",Laboratório,Financiamento
DataLabe,1,Tactical Tech,,Financiamento; Parceria em projeto,"Exposição artística e interativa com artes gráficas impressas e expostas em painéis. As peças foram uma adaptação do Data Detox Kit que tem conteúdos sobre segurança, privacidade e bem estar digital. (2022, 2023) Registro de recebimento financeiro;","2022, 2023",Laboratório,Financiamento
DataLabe,1,Comissão de Defesa dos Direitos Humanos e Cidadania (CDDHC),1,Parceria em projeto,"A convite da CDDHC, realização um processo seletivo para contratação de um estagiário de análise de dados, com o objetivo de estruturar a governança digital da comissão.",2022,Laboratório,Parceria em projeto
DataLabe,1,Digital defenders,,Financiamento,Não especificado,2022,Laboratório,Financiamento
DataLabe,1,ISOC Brasil,,Financiamento,Não especificado,2022,Laboratório,Financiamento
DataLabe,1,Thoughtworks,,Financiamento,Não especificado,2022,Laboratório,Financiamento
